title,url,published,updated
Cover Me: She Don’t Love Me Now,/2024/09/08/cover-me-she-dont-love-me-now/,2024-09-08T11:15:00-07:00,2024-09-09T04:48:53-07:00
MatR: Paul McCartney and Bruce Springsteen: The End,/2024/07/06/matr-paul-mccartney-and-bruce-springsteen-the-end/,2024-07-06T15:30:00-07:00,2024-07-06T15:26:19-07:00
Cover Me: Turn Back the Hands of Time,/2024/07/04/cover-me-turn-back-the-hands-of-time/,2024-07-04T05:00:00-07:00,2024-07-04T09:30:11-07:00
Cover Me: Turn On Your Love Light,/2024/06/16/cover-me-turn-on-your-love-light/,2024-06-16T06:00:00-07:00,2024-06-16T06:33:17-07:00
Cover Me: Any Other Way,/2023/12/28/cover-me-any-other-way/,2023-12-28T06:00:00-08:00,2023-12-28T06:31:05-08:00
Cover Me: I Wish It Would Rain,/2023/10/16/cover-me-i-wish-it-would-rain/,2023-10-16T07:00:00-07:00,2023-10-16T09:06:53-07:00
MatR: Paul McCartney and Bruce Springsteen: I Wanna Be Your Man,/2023/07/15/matr-paul-mccartney-and-bruce-springsteen-i-wanna-be-your-man/,2023-07-15T05:30:00-07:00,2023-07-15T05:03:15-07:00
Cover Me: Who’ll Stop the Rain,/2023/07/12/cover-me-wholl-stop-the-rain/,2023-07-12T05:00:00-07:00,2023-07-12T06:57:39-07:00
"Cover Me: Hey, Western Union Man",/2023/07/08/cover-me-hey-western-union-man/,2023-07-08T05:00:00-07:00,2023-10-15T17:31:45-07:00
Cover Me: This Land Is Your Land,/2023/07/04/cover-me-this-land-is-your-land/,2023-07-04T05:00:00-07:00,2023-07-05T09:47:28-07:00
Cover Me Round-Up: I’m on Fire (Part 4),/2022/01/27/cover-me-round-up-im-on-fire-part-4/,2022-01-27T05:00:00-08:00,2023-01-03T07:13:19-08:00
MatR: Bruce Springsteen and Sam Moore: Fa-fa-fa-fa-fa (Sad Song),/2022/01/26/matr-bruce-springsteen-and-sam-moore-fa-fa-fa-fa-fa-sad-song/,2022-01-26T05:00:00-08:00,2022-01-26T05:31:21-08:00
MatR: Garland Jeffreys and Bruce Springsteen: Welcome to the World,/2022/01/24/matr-garland-jeffreys-and-bruce-springsteen-welcome-to-the-world/,2022-01-24T05:00:00-08:00,2022-01-24T04:52:04-08:00
"Cover Me, Martin Ekman: Secret Garden",/2022/01/23/cover-me-martin-ekman-secret-garden/,2022-01-23T05:00:00-08:00,2022-01-22T16:37:25-08:00
MatR/RotD: Gary U.S. Bonds and Bruce Springsteen: Love’s on the Line,/2022/01/20/matr-rotd-gary-u-s-bonds-and-bruce-springsteen-loves-on-the-line/,2022-01-20T05:00:00-08:00,2022-01-20T05:19:31-08:00
"Cover Me, Bleachers: Hungry Heart",/2022/01/19/cover-me-bleachers-hungry-heart/,2022-01-19T05:02:00-08:00,2023-01-03T07:09:16-08:00
Cover Me: Apache,/2022/01/17/cover-me-apache/,2022-01-17T05:00:00-08:00,2022-01-17T10:41:27-08:00
"MatR: Bruce Springsteen, Clarence Clemons, and Danny Clinch: Rockin’ Pneumonia And The Boogie Woogie Flu",/2022/01/16/matr-bruce-springsteen-clarence-clemons-and-dan/,2022-01-16T05:00:00-08:00,2022-01-16T06:48:11-08:00
"Cover Me, Sugar and The Mint: Born to Run",/2022/01/15/cover-me-sugar-and-the-mint-born-to-run/,2022-01-15T05:00:00-08:00,2022-01-14T20:42:05-08:00
MatR: Ronnie Spector and The E Street Band: Walking in the Rain,/2022/01/13/matr-ronnie-spector-and-the-e-street-band-walking-in-the-rain/,2022-01-13T05:00:00-08:00,2022-01-13T04:56:35-08:00
Cover Me Round-Up: Dancing in the Dark (Part 3),/2022/01/11/cover-me-round-up-dancing-in-the-dark-part-3/,2022-01-11T05:00:00-08:00,2023-01-03T07:05:58-08:00
Cover Me: My Kind of Town,/2022/01/09/cover-me-my-kind-of-town/,2022-01-09T05:00:00-08:00,2022-01-09T05:15:14-08:00
"Cover Me, Linda Ronstadt: If I Should Fall Behind",/2022/01/07/cover-me-linda-ronstadt-if-i-should-fall-behind/,2022-01-07T05:00:00-08:00,2022-01-06T21:36:07-08:00
"MatR: Roy Orbison, Bruce Springsteen, and Friends: Candy Man",/2022/01/05/matr-roy-orbison-bruce-springsteen-and-friends-candy-man/,2022-01-05T05:00:00-08:00,2023-01-03T07:03:36-08:00
"Cover Me, Steve Earle: State Trooper",/2022/01/03/cover-me-steve-earle-state-trooper/,2022-01-03T05:00:00-08:00,2022-01-03T05:15:46-08:00
"Cover Me, Scary Pockets: Blinded by the Light",/2021/12/30/cover-me-scary-pockets-blinded-by-the-light/,2021-12-30T05:00:00-08:00,2023-01-03T06:54:31-08:00
Cover Me: Something,/2021/12/28/cover-me-something/,2021-12-28T05:00:00-08:00,2023-01-03T06:55:33-08:00
"RotD/Cover Me, Donna Summer: Protection",/2021/12/26/rotd-cover-me-donna-summer-protection/,2021-12-26T05:00:00-08:00,2021-12-26T05:14:27-08:00
MatR: U2 and Bruce Springsteen: Stand By Me,/2021/12/12/matr-u2-and-bruce-springsteen-stand-by-me/,2021-12-12T05:00:00-08:00,2021-12-12T05:27:31-08:00
"Cover Me, Sanne Salomonsen: The Fever",/2021/12/11/cover-me-sanne-salomonsen-the-fever/,2021-12-11T05:00:00-08:00,2021-12-11T05:15:17-08:00
RotD/Cover Me: How Can A Poor Man Stand Such Times and Live?,/2021/12/08/rotd-cover-me-how-can-a-poor-man-stand-such-times-and-live/,2021-12-08T05:00:00-08:00,2023-01-03T06:50:27-08:00
"Cover Me, The Henry Girls: Reason to Believe",/2021/12/07/cover-me-the-henry-girls-reason-to-believe/,2021-12-07T05:00:00-08:00,2021-12-06T21:48:37-08:00
Cover Me: Pretty Flamingo,/2021/12/04/cover-me-pretty-flamingo/,2021-12-04T04:46:00-08:00,2023-01-03T06:52:23-08:00
Cover Me Round-Up: I’m on Fire (Part 3),/2021/12/02/cover-me-round-up-im-on-fire-part-3/,2021-12-02T05:00:00-08:00,2021-12-02T07:16:38-08:00
"MatR: John Legend, Bruce Springsteen, Billy Joel, and India Arie: Signed, Sealed, Delivered I’m Yours",/2021/11/29/matr-john-legend-bruce-springsteen-billy-joel-a/,2021-11-29T05:00:00-08:00,2024-01-02T21:30:12-08:00
"Cover Me, The Whiskey Treaty Roadshow: The Rising",/2021/11/28/cover-me-the-whiskey-treaty-roadshow-the-rising/,2021-11-28T05:00:00-08:00,2021-11-28T05:19:43-08:00
"Cover Me, The Slants: Born in the U.S.A.",/2021/11/24/cover-me-the-slants-born-in-the-u-s-a/,2021-11-24T04:26:00-08:00,2021-12-22T14:07:06-08:00
Cover Me: It’s My Life,/2021/11/23/cover-me-its-my-life/,2021-11-23T04:20:00-08:00,2021-12-22T14:07:35-08:00
Cover Me: Rebel Rebel,/2021/11/21/cover-me-rebel-rebel/,2021-11-21T05:00:00-08:00,2021-11-20T20:00:52-08:00
"Cover Me, Tex Mex: No Surrender",/2021/11/20/cover-me-tex-mex-no-surrender/,2021-11-20T05:00:00-08:00,2021-11-20T06:14:31-08:00
MatR: Sam Moore and Bruce Springsteen: Better to Have and Not Need,/2021/11/19/matr-sam-moore-and-bruce-springsteen-better-to-have-and-not-need/,2021-11-19T05:00:00-08:00,2024-01-02T21:26:53-08:00
"MatR: Roy Orbison, Bruce Springsteen, and Friends: Mean Woman Blues",/2021/11/17/matr-roy-orbison-bruce-springsteen-and-friends-mean-woman-blues/,2021-11-17T05:00:00-08:00,2021-11-16T17:25:04-08:00
"Cover Me, Brandi Carlile: Born to Run",/2021/11/16/cover-me-brandi-carlie-born-to-run/,2021-11-16T05:00:00-08:00,2021-11-16T08:29:14-08:00
