title,url,published,updated
MatR: Paul McCartney and Bruce Springsteen: The End,/2024/07/06/matr-paul-mccartney-and-bruce-springsteen-the-end/,2024-07-06T15:30:00-07:00,2024-07-06T15:26:19-07:00
Roll of the Dice: Water Station,/2023/12/24/roll-of-the-dice-water-station/,2023-12-24T05:30:00-08:00,2024-01-03T16:41:46-08:00
MatR: Paul McCartney and Bruce Springsteen: I Wanna Be Your Man,/2023/07/15/matr-paul-mccartney-and-bruce-springsteen-i-wanna-be-your-man/,2023-07-15T05:30:00-07:00,2023-07-15T05:03:15-07:00
"MatR: Bruce Springsteen, Joe Grushecky, and Gary U.S. Bonds: The Twist",/2023/02/25/matr-bruce-springsteen-joe-grushecky-and-gary-u-s-bonds-the-twist/,2023-02-25T05:00:00-08:00,2024-01-03T16:32:46-08:00
MatR: Bruce Springsteen and John Fogerty: Bad Moon Rising,/2023/01/18/matr-bruce-springsteen-and-john-fogerty-bad-moon-rising/,2023-01-18T05:30:00-08:00,2024-01-03T16:28:27-08:00
"MatR: Bruce Springsteen, The Indigo Girls, Arlo Guthrie, and more: Hard Travelin’",/2022/12/23/matr-bruce-springsteen-the-indigo-girls-arlo-gu/,2022-12-23T05:00:00-08:00,2022-12-23T06:53:30-08:00
MatR: Eddie Vedder and Bruce Springsteen: Better Man,/2022/11/10/matr-eddie-vedder-and-bruce-springsteen-better-man/,2022-11-10T05:00:00-08:00,2022-11-10T06:13:00-08:00
"MatR: Mary Wilson, The Drifters, Billy Joel, Bruce Springsteen and more: Stop! In the Name of Love",/2022/11/03/matr-mary-wilson-the-drifters-billy-joel-bruce-/,2022-11-03T05:00:00-07:00,2024-01-03T16:17:54-08:00
"MatR: The Temptations, The Wallflowers, and Bruce Springsteen: My Girl",/2022/10/26/matr-the-temptations-the-wallflowers-and-bruce-springsteen-my-girl/,2022-10-26T05:30:00-07:00,2024-01-03T16:16:02-08:00
MatR: Patti Smith and Bruce Springsteen: My Car Was Invisible (The Case of Bruce Springsteen),/2022/10/20/matr-patti-smith-and-bruce-springsteen-my-car-w/,2022-10-20T05:00:00-07:00,2022-10-20T05:14:09-07:00
MatR: Bruce Springsteen and The Shots: Farther Up the Road,/2021/04/06/matr-bruce-springsteen-and-the-shots-farther-up-the-road/,2021-04-06T05:00:00-07:00,2021-04-05T05:30:10-07:00
"MatR: Roy Orbison, Bruce Springsteen and Friends: (All I Can Do Is) Dream You",/2021/04/03/matr-roy-orbison-bruce-springsteen-and-friends-/,2021-04-03T05:00:00-07:00,2021-04-02T16:28:47-07:00
Cover Me: Knock on Wood,/2021/04/02/cover-me-knock-on-wood/,2021-04-02T05:00:00-07:00,2021-04-02T05:19:26-07:00
MatR: Bruce Springsteen and Cats on a Smooth Surface: Hound Dog,/2021/03/30/matr-bruce-springsteen-and-cats-on-a-smooth-surface-hound-dog/,2021-03-30T05:00:00-07:00,2021-03-30T05:40:07-07:00
MatR: Jackson Browne and Bruce Springsteen: Running on Empty,/2021/03/24/matr-jackson-browne-and-bruce-springsteen-running-on-empty/,2021-03-24T05:00:00-07:00,2021-03-23T18:53:50-07:00
MatR: Solar Circus and Bruce Springsteen: Stems and Seeds,/2021/03/22/matr-solar-circus-and-bruce-springsteen-stems-and-seeds/,2021-03-22T05:00:00-07:00,2021-03-21T19:27:50-07:00
"MatR: Little Steven, Bruce Springsteen and the Asbury Park All-Star Revue: Little by Little",/2021/03/19/matr-little-steven-bruce-springsteen-and-the-as/,2021-03-19T05:00:00-07:00,2021-03-18T18:13:14-07:00
MatR: Billy Joel and Bruce Springsteen: Allentown,/2021/03/16/matr-billy-joel-and-bruce-springsteen-allentown/,2021-03-16T05:00:00-07:00,2021-03-14T16:35:09-07:00
MatR: John Mellencamp and Bruce Springsteen: Pink Houses,/2021/03/11/matr-john-mellancamp-and-bruce-springsteen-pink-houses/,2021-03-11T05:00:00-08:00,2023-01-02T17:33:50-08:00
MatR: Bruce Springsteen and Bobby Bandiera: Willie and the Hand Jive,/2021/02/22/matr-bruce-springsteen-and-bobby-bandiera-willie-and-the-hand-jive/,2021-02-22T05:00:00-08:00,2021-02-22T04:50:12-08:00
MatR: Little Steven and Bruce Springsteen: Men Without Women,/2021/02/20/matr-little-steven-and-bruce-springsteen-men-without-women/,2021-02-20T05:00:00-08:00,2021-02-20T06:16:11-08:00
"MatR: Tina Turner, Bruce Springsteen, Little Richard, Stevie Wonder, and more: River Deep – Mountain High",/2021/02/18/matr-tina-turner-bruce-springsteen-little-richa/,2021-02-18T05:00:00-08:00,2021-02-13T15:57:11-08:00
MatR: Patti Scialfa and Bruce Springsteen: Love (Stand Up),/2021/02/14/matr-patti-scialfa-and-bruce-springsteen-love-stand-up/,2021-02-14T05:00:00-08:00,2021-02-13T22:28:05-08:00
"MatR: Tom Petty & The Heartbreakers, Bruce Springsteen, and Bob Dylan: I’m Cryin’",/2021/02/03/matr-bruce-springsteen-bob-dylan-and-tom-petty-/,2021-02-03T05:00:00-08:00,2023-01-02T17:16:21-08:00
"RotD/Cover Me, Gary U.S. Bonds: Hold On (To What You Got)",/2021/01/28/cover-me-gary-u-s-bonds-hold-on-to-what-you-got/,2021-01-28T05:00:00-08:00,2023-01-02T17:19:32-08:00
MatR: Jersey Artists for Mankind (featuring Bruce Springsteen): We’ve Got the Love,/2021/01/25/matr-jersey-artists-for-mankind-featuring-bruce/,2021-01-25T05:00:00-08:00,2021-01-25T04:44:16-08:00
MatR: Joe Grushecky and Bruce Springsteen: A Good Life,/2021/01/21/matr-joe-grushecky-and-bruce-springsteen-a-good-life/,2021-01-21T05:00:00-08:00,2021-01-21T05:37:02-08:00
MatR: Jesse Malin and Bruce Springsteen: Meet Me at the End of the World,/2021/01/14/matr-jesse-malin-and-bruce-springsteen-meet-me-/,2021-01-14T05:00:00-08:00,2021-01-13T19:08:58-08:00
MatR: Joe Grushecky and Bruce Springsteen: Billy’s Waltz,/2021/01/09/matr-joe-grushecky-and-bruce-springsteen-billys-waltz/,2021-01-09T05:00:00-08:00,2021-12-21T11:25:23-08:00
MatR: R.E.M. and Bruce Springsteen: Man on the Moon,/2021/01/06/matr-r-e-m-and-bruce-springsteen-man-on-the-moon/,2021-01-06T05:00:00-08:00,2021-01-05T21:29:06-08:00
MatR: Wilson Pickett and Bruce Springsteen: In the Midnight Hour,/2020/12/31/matr-wilson-pickett-and-bruce-springsteen-in-the-midnight-hour/,2020-12-31T05:00:00-08:00,2020-12-31T05:55:26-08:00
MatR: John Fogerty and Bruce Springsteen: When Will I Be Loved,/2020/12/28/matr-john-fogerty-and-bruce-springsteen-when-will-i-be-loved/,2020-12-28T05:00:00-08:00,2020-12-28T05:16:34-08:00
MatR: Patti Smith and Bruce Springsteen: Land,/2020/12/23/matr-patti-smith-and-bruce-springsteen-land/,2020-12-23T05:00:00-08:00,2020-12-22T20:21:33-08:00
