title,url,published,updated
Roll of the Dice: Secret to the Blues,/2024/09/14/roll-of-the-dice-secret-to-the-blues/,2024-09-14T15:15:00-07:00,2024-09-14T15:13:07-07:00
Roll of the Dice: The Wall,/2024/09/04/roll-of-the-dice-the-wall/,2024-09-04T05:00:00-07:00,2024-09-05T06:43:38-07:00
Roll of the Dice: Talking About My Baby,/2024/07/02/roll-of-the-dice-talking-about-my-baby/,2024-07-02T09:00:00-07:00,2024-07-02T08:17:42-07:00
Roll of the Dice: Glory Days,/2024/06/04/roll-of-the-dice-glory-days/,2024-06-04T06:05:00-07:00,2024-06-04T12:46:35-07:00
Roll of the Dice: Water Station,/2023/12/24/roll-of-the-dice-water-station/,2023-12-24T05:30:00-08:00,2024-01-03T16:41:46-08:00
Album Companion: Letter to You,/2023/07/10/album-companion-letter-to-you/,2023-07-10T05:00:00-07:00,2023-07-10T06:52:59-07:00
"Cover Me: Hey, Western Union Man",/2023/07/08/cover-me-hey-western-union-man/,2023-07-08T05:00:00-07:00,2023-10-15T17:31:45-07:00
Roll of the Dice: Ghosts,/2023/07/06/roll-of-the-dice-ghosts/,2023-07-06T05:00:00-07:00,2024-01-03T16:38:58-08:00
Cover Me: This Land Is Your Land,/2023/07/04/cover-me-this-land-is-your-land/,2023-07-04T05:00:00-07:00,2023-07-05T09:47:28-07:00
Roll of the Dice: Livin’ in the Future,/2023/06/24/roll-of-the-dice-livin-in-the-future/,2023-06-24T05:00:00-07:00,2023-06-24T05:47:31-07:00
Roll of the Dice: Sinaloa Cowboys,/2022/01/04/roll-of-the-dice-sinaloa-cowboys/,2022-01-04T05:00:00-08:00,2024-01-02T21:36:21-08:00
Roll of the Dice: Further On (Up the Road),/2022/01/01/roll-of-the-dice-further-on-up-the-road/,2022-01-01T05:00:00-08:00,2021-12-31T21:38:39-08:00
Roll of the Dice: Outlaw Pete,/2021/12/29/roll-of-the-dice-outlaw-pete/,2021-12-29T05:05:00-08:00,2021-12-29T06:23:42-08:00
Roll of the Dice: Dancing in the Dark,/2021/12/25/roll-of-the-dice-dancing-in-the-dark/,2021-12-25T05:00:00-08:00,2024-01-02T21:33:20-08:00
Roll of the Dice: Love is a Gun,/2021/12/10/roll-of-the-dice-love-is-a-gun/,2021-12-10T05:00:00-08:00,2021-12-22T14:13:55-08:00
