title,url,published,updated
Introduction,/2025/01/01/year-two-complete/,2025-01-01T03:00:00-08:00,2025-11-21T13:08:20-08:00
"Spare Parts: Gary Frost, “Shutup Springsteen”",/2022/06/17/spare-parts-gary-frost-shutup-springsteen/,2022-06-17T05:00:00-07:00,2022-07-31T04:22:38-07:00
Spare Parts: “Weird Al” Yankovic and Bruce Springsteen,/2022/05/04/spare-parts-weird-al-yankovic-and-bruce-springsteen/,2022-05-04T05:00:00-07:00,2024-01-03T15:21:26-08:00
Spare Parts: Born to Take,/2022/04/18/spare-parts-born-to-take/,2022-04-18T05:00:00-07:00,2022-04-18T04:33:12-07:00
Spare Parts: Mike Love and The Beach Boys: Getcha Hungry Heart Back,/2022/02/06/spare-parts-mike-love-and-the-beach-boys-getcha-hungry-heart-back/,2022-02-06T05:00:00-08:00,2023-01-03T07:15:37-08:00
Roll of the Dice: My Lady,/2022/01/25/roll-of-the-dice-my-lady/,2022-01-25T05:00:00-08:00,2022-01-25T05:41:46-08:00
Spare Parts: You Can Look…,/2021/11/12/spare-parts-you-can-look/,2021-11-12T05:00:00-08:00,2021-11-12T05:26:34-08:00
Spare Parts: Blogger About Town,/2021/11/11/spare-parts-again/,2021-11-11T03:50:00-08:00,2023-01-03T06:45:48-08:00
Spare Parts: What I Did on My Autumn Vacation,/2021/10/24/spare-parts-what-i-did-on-my-autumn-vacation/,2021-10-24T05:00:00-07:00,2021-10-24T05:12:34-07:00
Roll of the Dice: Answering Machine,/2021/08/11/roll-of-the-dice-answering-machine/,2021-08-11T05:00:00-07:00,2023-01-03T05:12:37-08:00
Spare Parts: Lorenzo Bertocchini: Hey Bruce,/2021/04/21/spare-parts-lorenzo-bertocchini-hey-bruce/,2021-04-21T05:00:00-07:00,2021-04-20T21:08:07-07:00
Roll of the Dice: Do Your Job,/2021/04/01/roll-of-the-dice-do-your-job/,2021-04-01T05:00:00-07:00,2021-04-01T10:10:04-07:00
Becoming The Boss: A Bruce Springsteen Board Game,/2021/02/26/becoming-the-boss-a-bruce-springsteen-board-game/,2021-02-26T04:45:00-08:00,2021-03-01T08:17:17-08:00
Spare Parts: Arty: Supposed to Be,/2020/11/02/spare-parts-arty-supposed-to-be/,2020-11-02T05:00:00-08:00,2023-01-01T18:28:27-08:00
Spare Parts: Warren Zevon: Jeannie Needs a Shooter,/2020/10/23/spare-parts-warren-zevon-jeannie-needs-a-shooter/,2020-10-23T05:00:00-07:00,2020-10-23T05:04:50-07:00
Spare Parts: Dan Patrick Fulton: (I’m/Sex) On Fire,/2020/07/09/spare-parts-dan-patrick-fulton-im-sex-on-fire/,2020-07-09T05:00:00-07:00,2021-12-20T14:42:58-08:00
Have a Good Time… But Get Out Alive!,/2020/05/22/have-a-good-time-but-get-out-alive/,2020-05-22T05:00:00-07:00,2023-01-01T15:17:46-08:00
Spare Parts: Michael Petrella: Dancing in the Dark/I Wanna Dance With Somebody,/2020/04/16/spare-parts-michael-petrella-dancing-in-the-dar/,2020-04-16T05:00:00-07:00,2023-01-01T14:17:50-08:00
Live Music for Quarantined Springsteen Fans,/2020/03/24/live-music-for-quarantined-springsteen-fans/,2020-03-24T09:50:16-07:00,2020-03-24T09:50:16-07:00
Spare Parts: Cheap Motel,/2020/01/11/spare-parts-joe-grushecky-and-the-houserockers-cheap-motel/,2020-01-11T05:00:00-08:00,2024-01-02T11:24:00-08:00
Spare Parts: It’s Gonna Be a Bruce Springsteen Christmas,/2019/12/17/spare-parts-its-gonna-be-a-bruce-springsteen-christmas/,2019-12-17T02:15:00-08:00,2019-12-17T02:19:44-08:00
A Very Springsteen Christmas,/2002/01/01/spare-parts-a-bruce-springsteen-christmas/,2002-01-01T11:00:00-08:00,2025-11-06T18:08:04-08:00
