order,ID,Post ID,Title,Published,Updated,Notes
8,75,2698,Bobby Jean,2018-06-19 12:00:43,2024-01-01 23:22:04,used most recent 2026-02
1,68,11226,Born in the U.S.A.,2019-09-21 12:00:00,2024-01-02 17:17:27,used most recent 2026-02
2,69,23943,Cover Me,2021-01-13 13:00:00,2023-01-03 01:08:07,used most recent 2026-02
11,78,29798,Dancing in the Dark,2021-12-25 13:00:00,2024-01-03 05:33:20,used most recent 2026-02
3,70,20598,Darlington County,2020-09-10 12:00:00,2024-01-02 21:30:09,used most recent 2026-02
5,72,6887,Downbound Train,2019-01-22 13:00:13,2024-01-02 01:53:59,used most recent 2026-02
10,77,51596,Glory Days,2024-06-04 13:05:00,2024-06-04 19:46:35,used most recent 2026-02
9,76,27455,I'm Goin' Down,2021-06-05 12:00:00,2021-06-05 12:48:34,used most recent 2026-02
6,73,29026,I'm on Fire,2021-09-11 12:00:00,2024-01-03 03:27:00,used most recent 2026-02
12,57,16720,My Hometown,2020-04-09 12:00:00,2024-01-02 19:56:51,used most recent 2026-02
7,74,27047,No Surrender,2021-11-18 13:00:00,2024-01-03 05:28:02,used most recent 2026-02
4,71,181,Working on the Highway,2018-01-11 13:00:14,2024-01-01 22:23:37,used most recent 2026-02
,,,OUTTAKES,,,
,56,678,County Fair,2018-02-17 13:00:13,2019-04-13 17:38:30,Garage 83?
,81,14888,Drop on Down and Cover Me,2019-12-18 11:10:00,2021-12-20 00:20:13,
,738,4617,None But the Brave,2018-09-24 12:00:37,2024-01-01 23:54:20,
,1508,18570,Protection,2020-06-04 12:00:00,2023-01-01 23:30:05,
,67,12572,Vietnam,2019-08-31 12:00:00,2021-12-19 00:36:56,
