order,ID,Post ID,Title,Published,Updated,Notes
,2455,32949,Adam Raised a Cain,2022-07-03 12:00:00,2024-01-03 23:52:14,
,4598,9626,Badlands,2019-05-20 12:00:00,2024-01-02 02:29:32,
,2418,34350,Candy's Room,2022-05-02 12:00:00,2024-01-03 23:22:20,
,4587,1469,Darkness on the Edge of Town,2018-04-10 12:00:13,2024-01-01 22:54:31,
,784,5306,Factory,2018-10-31 12:00:53,2024-01-02 00:02:04,
,1674,20931,Prove it All Night,2020-10-24 12:00:00,2024-01-02 21:54:31,
,2108,29310,Racing in the Street,2021-10-03 12:00:00,2024-03-25 02:12:18,
,2010,27046,Something in the Night,2021-05-28 12:00:00,2024-01-03 01:11:18,
,2140,30554,Streets of Fire,2021-11-06 12:00:00,2023-01-03 14:40:01,
,4593,2700,The Promised Land,2018-07-04 12:00:47,2024-01-01 23:27:02,
,,,OUTTAKES,,,
,2450,35841,Action in the Streets,2022-06-27 12:00:00,2022-06-27 12:17:03,
,2467,36515,BoDo Rocker (I'm Goin' Back),2022-07-23 11:34:00,2023-01-03 16:10:23,
,1654,21110,Break My Heart (Tonight),2020-10-07 12:00:00,2020-10-07 12:12:05,October 78 Demos
,1936,25002,Break Out,2021-03-20 12:00:00,2023-01-03 01:37:11,
,925,7796,Crazy Rocker,2019-03-10 12:00:00,2024-01-02 02:07:52,
,640,2933,Preacher's Daughter,2018-07-01 12:00:36,2022-12-28 13:43:12,
,1485,17942,Sax Song,2020-05-13 12:00:00,2023-01-01 22:21:47,
,1329,15190,The Ballad,2019-12-29 13:00:00,2023-01-01 20:52:56,
,1882,23581,The Fast Song,2021-01-30 13:00:00,2023-01-03 01:17:32,
