order,ID,Post ID,Title,Published,Updated,Notes
10,1686,22282,All I'm Thinkin' About,2020-11-05 13:00:00,2021-12-21 06:01:39,
2,1173,12292,All the Way Home,2019-09-08 12:00:00,2020-12-15 16:08:39,
5,2079,29011,Black Cowboys,2021-09-03 11:14:00,2021-09-03 11:13:16,
1,2373,32478,Devils & Dust,2022-03-02 12:51:00,2023-01-03 15:20:35,
8,564,1764,Jesus Was an Only Son,2018-04-25 12:00:04,2019-04-13 21:13:59,
9,1316,14567,Leah,2019-12-12 13:00:00,2020-12-19 00:56:06,
4,2446,35690,Long Time Comin',2022-06-19 12:10:00,2023-01-03 15:43:24,
6,801,5733,Maria's Bed,2018-11-16 13:00:14,2024-01-02 00:11:20,
11,1222,12926,Matamoros Banks,2019-10-27 12:00:00,2020-12-16 15:25:46,
3,1494,18174,Reno,2020-05-21 12:00:00,2021-12-20 12:46:47,
7,2147,30467,Silver Palomino,2021-11-13 13:00:00,2021-11-13 12:47:34,
