order,ID,Post ID,Title,Published,Updated,Notes
,1490,18167,Roll of the Dice: 57 Channels (And Nothin' On),2020-05-17 12:00:00,2023-01-01 23:20:14,
,462,523,Roll of the Dice: All or Nothin' at All,2018-01-30 13:00:20,2024-01-01 22:34:21,
,1849,24156,Roll of the Dice: Cross My Heart,2020-12-29 13:00:00,2023-01-03 01:05:49,
,1143,11843,Roll of the Dice: Human Touch,2019-08-09 12:00:00,2024-01-02 17:02:36,
,2123,30010,Roll of the Dice: I Wish I Were Blind,2021-10-17 12:00:00,2024-01-03 05:17:54,
,2438,34693,Roll of the Dice: Man's Job,2022-05-30 12:00:00,2023-01-03 15:35:50,
,911,7700,Roll of the Dice: Pony Boy,2019-03-01 13:00:00,2024-01-02 02:03:34,
,1453,17359,Roll of the Dice: Real Man,2020-04-15 12:00:00,2023-01-01 22:18:25,
,2468,36533,Roll of the Dice: Real World,2022-07-25 12:00:00,2024-01-03 23:54:33,
,1351,15483,Roll of the Dice: Roll of the Dice,2020-01-18 13:10:00,2024-01-02 19:29:14,
,2802,41081,Roll of the Dice: Soul Driver,2023-01-22 13:16:00,2023-01-22 15:12:15,
,2169,31029,Roll of the Dice: The Long Goodbye,2021-12-05 13:00:00,2023-01-03 14:51:27,
,444,287,Roll of the Dice: With Every Wish,2018-01-18 20:00:38,2022-04-16 17:56:25,
,,,,,,
,2458,36008,I’m Gonna Rock (The Pee Pee Song),2022-07-07 12:00:00,2022-07-07 12:07:35,"1992 Tour, One off, Bruce had to pee"
