order,ID,Post ID,Title,Published,Updated,Notes
10,1618,20492,Roll of the Dice: Across the Border,2020-09-06 12:00:00,2024-01-02 21:32:13,
7,1417,16915,Roll of the Dice: Balboa Park,2020-03-16 12:00:00,2024-01-02 19:47:18,
8,1665,21640,Roll of the Dice: Dry Lightning,2020-10-16 12:00:00,2024-01-02 21:47:35,
11,1527,18897,Roll of the Dice: Galveston Bay,2020-06-22 12:00:00,2024-01-02 20:48:55,
3,523,1019,Roll of the Dice: Highway 29,2018-03-23 12:00:21,2024-01-01 22:46:17,
12,2068,28661,Roll of the Dice: My Best Was Never Good Enough,2021-08-22 12:00:00,2024-01-03 03:21:35,
5,2326,29797,Roll of the Dice: Sinaloa Cowboys,2022-01-04 13:00:00,2024-01-03 05:36:21,
2,2519,39613,Roll of the Dice: Straight Time,2022-12-05 13:00:00,2024-01-04 00:24:42,
1,1210,12909,Roll of the Dice: The Ghost of Tom Joad,2019-10-17 12:00:00,2024-01-02 17:23:40,
6,680,3571,Roll of the Dice: The Line,2018-08-08 11:46:49,2024-01-01 23:37:59,
9,653,3124,Roll of the Dice: The New Timer,2018-07-13 12:00:11,2024-01-01 23:29:12,
4,2813,42777,Roll of the Dice: Youngstown,2023-05-01 12:05:00,2024-01-04 00:35:37,
,,,,,,
,820,6248,Freehold,2018-12-03 13:00:21,2021-12-15 03:19:04,Joad Tour
,1319,14218,In Kansas,2019-12-16 10:30:00,2020-02-15 21:28:39,Joad Tour
,2403,33851,In Michigan,2022-04-12 12:00:00,2022-04-12 13:41:06,Joad Tour
,366,22142,Pilgrim in the Temple of Love,2002-01-12 19:00:00,2025-11-07 01:59:10,Joad Tour
,891,7402,Sell It and They Will Come,2019-02-09 13:00:13,2024-01-02 02:00:12,Joad Tour
,1156,12108,There Will Never Be Any Other For Me But You,2019-08-23 12:00:00,2023-01-01 19:19:11,Joad Tour
