order,ID,Post ID,Title,Published,Updated,Notes
10,1996,26708,Devil's Arcade,2021-05-16 12:00:00,2021-05-16 13:20:05,
6,899,7412,Girls in Their Summer Clothes,2019-02-17 13:00:47,2020-12-08 15:55:10,
5,1032,9732,Gypsy Biker,2019-05-02 12:00:00,2021-12-17 21:53:23,
7,479,671,I'll Work For Your Love,2018-02-14 13:00:34,2024-01-01 22:36:08,
3,2818,43751,Livin' in the Future,2023-06-24 12:00:00,2023-06-24 12:47:31,
9,1422,16552,Long Walk Home,2020-03-21 12:00:00,2024-01-02 19:46:44,
8,1625,20801,Magic,2020-09-13 12:00:00,2020-09-13 13:44:57,
1,2053,27623,Radio Nowhere,2021-08-01 12:00:00,2024-01-03 03:20:18,
11,671,3399,Terry's Song,2018-07-30 11:01:55,2019-04-14 18:01:56,
2,715,4353,You'll Be Comin' Down,2018-09-03 12:00:31,2020-12-04 00:48:16,
4,1504,18392,Your Own Worst Enemy,2020-05-31 12:00:00,2020-12-23 16:11:04,
