order,ID,Post ID,Title,Published,Updated,Notes
2,615,2421,Atlantic City,2018-06-04 12:00:47,2024-01-01 23:16:51,
4,1558,19057,Johnny 99,2020-07-20 12:00:00,2024-01-02 21:04:07,
3,2377,32613,Mansion on the Hill,2022-03-06 13:15:00,2024-01-03 16:31:59,
8,2066,28857,My Father's House,2021-08-13 12:20:00,2025-01-07 04:47:10,
1,553,1646,Nebraska,2018-04-16 12:00:48,2020-11-27 17:10:27,
7,1677,21784,Open All Night,2020-10-28 12:00:00,2023-01-02 02:30:28,
9,1912,25179,Reason to Believe,2021-02-27 13:00:00,2024-01-03 00:10:07,
5,1324,15047,State Trooper,2019-12-22 13:00:00,2023-01-01 20:56:27,
6,1080,10316,Used Cars,2019-06-13 12:00:00,2021-12-19 00:35:22,
,,,OUTTAKES,,,
,1035,9731,"Baby, I'm So Cold",2019-05-04 12:00:00,2023-01-01 17:49:50,1982 Demos
,1885,24475,Bells of San Salvador,2021-02-02 13:00:00,2021-02-02 13:56:40,1981-82 Demos
,1471,17932,Danger Zone,2020-05-01 12:00:00,2020-12-23 15:51:09,1981 Demos
,2499,38577,Fade to Black,2022-10-09 12:00:00,2022-10-23 21:49:31,
,783,5305,I Don't Know,2018-10-30 12:00:31,2019-04-14 23:26:41,1982 Demos
,2479,35372,Long Way Home,2022-08-18 12:00:00,2022-08-18 01:16:56,1981-82 Demos
,1867,24354,Losin' Kind,2021-01-15 13:00:00,2021-12-21 19:30:51,
,1894,25184,Love Is a Dangerous Thing,2021-02-10 13:00:00,2021-02-10 13:09:17,1981 Demos
,1331,15270,My Heart is an Open Book,2020-01-01 13:00:00,2019-12-30 12:23:43,1981 Demos
,1112,10926,Riding Horse,2019-07-12 12:00:00,2019-07-11 04:32:52,1981 Demos
,1115,10783,Robert Ford,2019-07-14 12:00:00,2023-01-01 18:55:05,1981 Demos
,1909,24825,Ruled by the Gun,2021-02-23 13:00:00,2021-02-23 13:15:17,1981-82 Demos
,1544,19178,Summer Night,2020-07-08 12:00:00,2020-07-07 14:55:31,1982 Demos
,795,5534,The Big Payback,2018-11-11 13:00:20,2021-12-15 02:21:27,Essential/Single
,598,2179,True Love Is Hard to Come By,2018-05-19 12:00:49,2019-11-28 05:54:20,1982 Demos
,1682,22431,Wheels Make the World Go Round,2020-11-01 13:00:00,2021-12-21 05:58:26,1981-82 Demos
,1132,11789,Your Love is All Around Me,2019-07-30 12:00:00,2020-12-13 18:36:14,1982 Demos
