order,ID,Post ID,Title,Published,Updated,Notes
8,2840,47227,Any Other Way,2023-12-28 14:00:00,2023-12-28 14:31:05,
7,2804,41557,Don't Play That Song (You Lied),2023-02-12 13:00:00,2024-01-04 00:31:45,
5,2823,44059,"Hey, Western Union Man",2023-07-08 12:00:00,2023-10-16 00:31:45,
9,2511,39250,I Forgot to Be Your Lover,2022-11-12 13:15:00,2022-11-12 13:57:33,
6,2836,45724,I Wish It Would Rain,2023-10-16 14:00:00,2023-10-16 16:06:53,
1,2803,41197,Soul Days,2023-01-25 13:30:00,2023-01-25 03:24:01,
2,2798,40755,The Sun Ain't Gonna Shine Anymore,2023-01-10 13:00:00,2023-01-10 12:43:46,
3,3124,52381,Turn Back the Hands of Time,2024-07-04 12:00:00,2024-07-04 16:30:11,
10,2520,39748,What Becomes of the Brokenhearted,2022-12-09 12:16:00,2022-12-15 16:05:32,
4,2514,39396,When She Was My Girl,2022-11-23 13:15:00,2022-11-23 16:21:47,
