order,ID,Post ID,Title,Published,Updated,Notes
11,1066,10321,Ain't Good Enough for You,2019-06-02 12:00:00,2023-01-01 18:03:38,
18,1461,17744,Breakaway,2020-04-23 12:00:00,2023-01-01 22:14:46,
9,1613,20595,Candy's Boy,2020-09-02 12:00:00,2023-01-02 01:32:45,
19,1533,19494,City of Night,2020-06-28 12:00:00,2023-01-01 23:39:44,
15,1760,23071,Come On (Let's Go Tonight),2020-12-05 13:00:00,2023-01-03 00:52:21,
12,1580,19928,Fire,2020-08-05 12:00:00,2023-01-02 00:01:05,
2,1892,24827,Gotta Get That Feeling,2021-02-08 13:00:00,2023-01-03 01:23:28,
14,2500,37140,It's a Shame,2022-10-15 12:00:00,2023-01-03 16:43:39,
5,863,6889,One Way Street,2019-01-14 13:00:46,2024-01-02 01:52:24,
3,1904,25452,Outside Looking In,2021-02-19 13:00:00,2023-01-03 01:25:47,
1,2108,29310,Racing in the Street,2021-10-03 12:00:00,2024-03-25 02:12:18,
8,1988,26870,Rendezvous,2021-05-08 12:00:00,2023-01-03 01:51:07,
10,1118,11224,Save My Love,2019-07-16 12:00:00,2024-01-02 15:10:56,
4,1197,12916,Someday (We'll Be Together),2019-10-03 12:00:00,2023-01-01 19:49:15,
13,2800,40850,Spanish Eyes,2023-01-14 13:15:00,2024-01-04 00:27:26,
16,908,7531,Talk to Me,2019-02-26 13:00:46,2023-01-01 17:01:48,
7,698,3760,The Brokenhearted,2018-08-20 12:00:51,2022-12-28 14:17:31,
17,2375,32877,The Little Things (My Baby Does),2022-03-04 13:00:00,2023-01-03 15:19:50,
20,2059,28460,The Way,2021-08-06 12:00:00,2023-01-03 12:31:57,
6,1232,13440,Wrong Side of the Street,2019-11-06 13:00:00,2023-01-01 20:14:10,
