order,ID,Post ID,Title,Published,Updated,Notes
13,1562,19802,Cadillac Ranch,2020-07-23 12:00:00,2023-01-01 23:58:29,
8,466,525,Crush on You,2018-02-02 12:55:58,2024-01-01 22:32:22,
18,490,827,Drive All Night,2018-02-27 13:00:36,2024-01-01 22:40:49,
15,569,1770,Fade Away,2018-04-28 12:00:39,2019-11-27 01:55:11,
6,2523,39970,Hungry Heart,2022-12-21 13:45:00,2024-01-04 00:23:53,
10,2410,34148,I Wanna Marry You,2022-04-22 12:00:00,2022-04-22 12:18:23,
14,1630,20935,I'm a Rocker,2020-09-18 12:00:00,2024-01-02 21:35:10,
5,2382,32833,Independence Day,2022-03-14 12:00:00,2023-01-03 15:23:05,
3,788,5407,Jackson Cage,2018-11-04 13:00:06,2024-01-02 00:08:03,
7,2130,30008,Out in the Street,2021-10-28 12:00:00,2024-01-03 05:21:31,
12,1817,14213,Point Blank,2020-12-19 13:00:00,2024-01-02 22:08:34,
16,2489,36371,Ramrod,2022-09-10 12:00:00,2024-01-04 00:13:26,
2,645,2966,Sherry Darling,2018-07-06 12:00:30,2024-01-01 23:27:47,
17,1187,12486,The Price You Pay,2019-09-23 12:00:00,2024-02-11 19:57:05,
11,1918,24353,The River,2021-03-04 13:00:00,2024-01-03 00:14:03,
1,502,998,The Ties that Bind,2018-03-09 13:00:19,2024-01-01 22:42:41,
4,607,2293,Two Hearts,2018-05-28 12:00:34,2024-01-01 23:10:55,
20,2484,36656,Wreck on the Highway,2022-08-28 12:00:00,2022-08-28 12:47:49,
9,1519,18562,You Can Look (But You Better Not Touch),2020-06-14 12:00:00,2021-12-20 16:45:34,
,,,Unreleased Outtakes,,,
20,531,1282,Baby Come Back,2018-03-29 12:00:39,2019-11-24 18:39:05,
21,1314,14437,"Baby, Don't Go",2019-12-10 11:00:00,2019-12-10 10:56:19,
22,1654,21110,Break My Heart (Tonight),2020-10-07 12:00:00,2020-10-07 12:12:05,
23,756,5059,Chevrolet Deluxe,2018-10-06 12:00:26,2021-12-13 14:35:00,
24,626,2777,Dedication,2018-06-17 12:00:27,2020-11-30 15:15:29,
,1245,14031,Every Day and Every Night,2019-11-17 09:03:00,2019-11-17 08:57:45,1979 Solo Demos
,800,5741,Everybody Wants My Baby,2018-11-15 13:00:26,2020-12-05 18:31:35,1979 Solo Demos
,1028,9380,Everybody’s Looking for Somebody,2019-04-28 12:00:00,2019-04-29 00:00:29,1979 Solo Demos
,508,1011,Everyone Loves You,2018-03-14 12:00:36,2019-04-13 19:01:23,1979 Solo Demos
25,1441,17123,Find It Where You Can,2020-04-05 12:00:00,2023-01-01 22:13:45,
,2118,29687,Held Up Without a Gun,2021-10-12 12:00:00,2024-01-03 05:18:43,
,2101,29803,I Don’t Wanna Be,2021-09-26 12:00:00,2021-09-26 04:46:54,1979 Solo Demos
,550,1570,I Need You,2018-04-13 12:00:14,2021-12-12 14:01:59,1979 Solo Demos
26,1916,25334,I Wanna Start a New Life,2021-03-02 13:00:00,2021-03-02 14:49:38,
27,1465,17743,I'm Gonna Treat You Right (Wild Kisses),2020-04-29 12:00:00,2020-04-25 17:48:11,
,2094,29629,Love and Kisses,2021-09-20 11:30:00,2021-09-20 11:25:41,1979 Solo Demos
,2173,31068,Love Is a Gun,2021-12-10 13:00:00,2021-12-22 22:13:55,1979 Solo Demos
28,1043,9593,Love Will Get You Down,2019-05-12 12:00:00,2019-05-12 13:51:34,
,1181,12714,Love’s Gonna Be Tonight,2019-09-17 12:00:00,2019-09-17 12:06:44,1979 Solo Demos
29,1901,25234,"Oh, Angelyne",2021-02-16 13:00:00,2021-05-24 20:20:00,
30,2000,26511,Out On The Run,2021-05-20 12:00:00,2023-01-03 01:53:26,
31,1348,15271,Slow Fade,2020-01-16 13:00:00,2020-12-19 13:20:04,
,857,6883,Stockton Boys,2019-01-10 12:30:18,2021-12-16 03:35:47,1980 Solo Demos
,1399,16356,Stockton Girls,2020-02-27 13:00:00,2021-12-20 00:51:16,
,1047,8426,The Informer,2019-05-16 12:00:00,2019-12-06 05:43:44,Known from TTTB notebook
,763,5063,The Time In Between,2018-10-13 12:00:14,2023-01-01 15:53:44,1979 Solo Demos
32,719,4184,This Little Girl,2018-09-06 12:00:57,2024-01-01 23:48:11,
33,1809,22423,Under The Gun,2020-12-17 13:00:00,2023-01-03 01:03:01,
,1695,22770,Walking on the Avenue,2020-11-12 13:00:00,2023-01-02 02:32:11,1979 Solo Demos
,486,819,You Gotta Be Kind,2018-02-23 13:00:41,2019-06-05 03:57:04,1980 Solo Demos
,1189,13192,You Gotta Fight (For What You Want),2019-09-25 12:00:00,2019-09-25 12:23:16,1979 Solo Demos
34,668,3401,Your Love,2018-07-27 12:00:54,2021-12-12 17:16:04,
