order,ID,Post ID,Title,Published,Updated,Notes
12,1981,26705,A Good Man Is Hard to Find (Pittsburgh),2021-04-30 12:00:00,2024-01-03 00:31:59,
56,1237,13790,Back in Your Arms,2019-11-10 13:00:00,2022-03-20 02:14:46,
20,1739,22913,Be True,2020-12-02 13:00:00,2020-12-02 18:37:28,
1,1998,26869,Bishop Danced,2021-05-18 12:00:00,2021-05-18 12:39:49,
24,602,11226,Born in the U.S.A.,2019-09-21 12:00:00,2024-01-02 17:17:27,
9,2332,2240,Bring on the Night,2018-05-23 12:00:17,2024-01-01 23:09:58,
57,1214,31074,Brothers Under the Bridge '95,2022-01-10 13:00:00,2022-01-10 13:23:23,
35,1336,13794,Brothers Under the Bridges ('83),2019-10-21 12:00:00,2023-01-01 19:50:39,
33,1171,15193,Car Wash,2020-01-04 13:00:00,2023-01-01 20:58:16,
27,1591,12105,Cynthia,2019-09-06 12:00:00,2024-01-02 17:11:05,
14,1473,20374,Dollhouse,2020-08-15 12:00:00,2020-08-15 14:22:20,
11,947,15272,Don't Look Back,2020-05-03 12:00:00,2023-01-01 22:19:31,
29,1037,7887,Frankie,2019-03-31 12:00:00,2024-01-02 02:12:49,
46,1522,9594,Gave it a Name,2019-05-06 12:00:00,2023-01-01 17:56:06,
7,849,18721,Give the Girl a Kiss,2020-06-17 12:00:00,2023-01-01 23:35:53,
55,1130,6679,Goin' Cali,2019-01-01 13:00:58,2024-01-02 00:23:40,
53,2488,11792,Happy,2019-07-28 12:00:00,2024-01-02 15:12:14,
10,437,32951,Hearts of Stone,2022-09-07 12:00:00,2024-01-04 00:13:44,
22,2353,226,I Wanna Be With You,2018-01-14 23:41:51,2024-01-01 22:28:05,
8,956,32363,Iceman,2022-02-01 13:00:00,2023-01-03 15:14:52,
39,956,8274,"Janey, Don't You Lose Heart",2019-04-06 12:00:00,2021-12-17 05:41:45,
25,50,35847,Johnny Bye Bye,2022-07-13 12:00:00,2024-01-03 23:47:08,
44,1966,26516,Leavin' Train,2021-04-15 12:00:00,2023-01-03 01:46:56,
4,1943,26080,Linda Let Me Be the One,2021-03-27 12:00:00,2024-01-03 00:17:22,
32,1088,10411,Lion's Den,2019-06-21 12:00:00,2019-12-07 04:42:33,
17,770,4788,Living on the Edge of the World,2018-10-18 12:00:02,2024-01-02 00:00:51,
51,1259,14360,Loose Change,2019-11-24 13:00:00,2019-11-24 14:08:40,
16,2448,35521,Loose Ends,2022-06-23 12:00:00,2023-01-03 15:47:36,
43,1396,16171,Lucky Man,2020-02-25 13:00:00,2023-01-01 21:48:19,
36,1041,9386,Man at the Top,2019-05-10 12:00:00,2019-12-06 03:52:14,
23,951,8276,Mary Lou,2019-04-03 12:00:00,2020-12-10 15:50:19,
28,452,397,My Love Will Not Let You Down,2018-01-24 15:00:23,2024-01-01 22:25:39,
48,776,5339,My Lover Man,2018-10-24 12:00:00,2023-01-01 15:56:18,
49,1550,19327,Over the Rise,2020-07-12 12:00:00,2023-01-01 23:49:57,
54,2366,32476,"Part Man, Part Monkey",2022-02-19 13:00:00,2023-01-03 15:17:53,
37,1154,11451,Pink Cadillac,2019-08-21 12:00:00,2024-01-02 17:06:46,
6,1988,26870,Rendezvous,2021-05-08 12:00:00,2023-01-03 01:51:07,
21,809,5739,Ricky Wants a Man of Her Own,2018-11-23 13:00:45,2019-12-01 12:16:55,
34,1931,25700,Rockaway the Days,2021-03-15 12:00:00,2023-01-03 01:38:48,
13,2406,33513,Roulette,2022-04-16 12:00:00,2024-01-03 23:19:08,
47,1202,13049,Sad Eyes,2019-10-08 12:00:00,2019-10-08 12:26:24,
2,498,970,Santa Ana,2018-03-06 13:00:10,2022-12-28 06:09:01,
3,2504,38856,Seaside Bar Song,2022-10-24 12:00:00,2024-01-04 00:16:25,
45,617,2465,Seven Angels,2018-06-07 12:00:33,2024-01-01 23:15:26,
26,1663,21387,Shut Out the Light,2020-10-14 12:00:00,2020-10-14 12:28:25,
31,2114,29683,Stand On It,2021-10-08 12:00:00,2021-10-08 16:20:16,
19,945,7891,Take 'Em as They Come,2019-03-29 12:00:00,2023-01-01 17:36:02,
59,1651,21113,The Fever,2020-10-04 12:00:00,2020-10-10 18:12:43,
42,539,1412,The Honeymooners,2018-04-04 12:00:54,2022-12-28 06:23:58,
41,631,2879,The Wish,2018-06-23 12:00:21,2024-01-01 23:20:46,
5,2099,27713,Thundercrack,2021-09-24 12:00:00,2023-01-03 14:26:05,
52,2164,30734,Trouble in Paradise,2021-11-30 13:00:00,2023-01-03 14:47:00,
58,915,7788,Trouble River,2019-03-05 13:00:00,2021-12-17 05:31:57,
30,1483,17937,TV Movie,2020-05-11 12:00:00,2021-12-20 12:42:19,
38,1535,19495,Two for the Road,2020-06-30 12:00:00,2023-01-01 23:38:24,
18,1373,15411,Wages of Sin,2020-02-07 13:00:00,2023-01-01 21:07:56,
50,1875,24155,When the Lights Go Out,2021-01-23 13:00:00,2021-01-23 15:34:10,
40,1364,15843,When You Need Me,2020-01-30 13:00:00,2023-01-01 21:09:36,
15,792,5529,Where the Bands Are,2018-11-08 13:00:27,2019-04-14 23:47:43,
