order,ID,Post ID,Title,Published,Updated,Notes
,105,28858,Ain't Got You,1987-01-01 19:00:00+00,2025-11-23 00:13:13+00,
3,107,36657,All That Heaven Will Allow,1987-01-03 19:00:00+00,2025-11-23 00:17:50+00,
9,113,583,Brilliant Disguise,1987-01-09 19:00:33+00,2025-11-23 00:34:40+00,
5,109,18563,Cautious Man,1987-01-05 19:00:00+00,2025-11-23 00:19:54+00,
10,114,3758,One Step Up,1987-01-10 19:00:52+00,2025-11-23 00:45:49+00,
1,103,36849,ROTD Tunnel of Love Preface,1987-01-01 18:00:00+00,2025-11-25 01:27:26+00,
4,108,6810,Spare Parts,1987-01-04 19:00:15+00,2025-11-23 00:18:25+00,
2,106,19667,Tougher Than the Rest,1987-01-02 19:00:00+00,2025-11-23 00:16:40+00,
7,111,27454,Tunnel of Love,1987-01-07 19:00:00+00,2025-11-23 00:31:46+00,
8,112,34887,Two Faces,1987-01-08 19:00:00+00,2025-11-23 00:33:17+00,
12,116,2607,Valentine's Day,1987-01-12 19:00:17+00,2025-11-23 00:38:53+00,
6,110,3216,Walk Like a Man,1987-01-06 19:00:15+00,2025-11-23 00:25:27+00,
11,115,22773,When You're Alone,1987-01-11 19:00:00+00,2025-11-23 00:38:02+00,
