order,ID,Post ID,Title,Published,Updated,Notes
,1026,8769,"4th of July, Asbury Park (Sandy)",2019-04-26 12:00:00,2024-07-05 17:46:07,
,831,5817,Incident on 57th Street,2018-12-14 13:00:36,2023-07-16 11:52:36,
,2343,31937,Kitty's Back,2022-01-22 13:00:00,2024-01-03 14:25:07,
,1511,18561,The E Street Shuffle,2020-06-06 12:00:00,2024-01-02 20:36:34,
,929,7877,Wild Billy's Circus Story,2019-03-14 12:00:00,2024-01-02 02:10:20,
,,,outtakes,,,
,1199,13399,Angel’s Blues,2019-10-05 12:00:00,2023-01-01 19:48:27,Played during 74 Tour
,1040,9384,Ballad of a Self-Loading Pistol,2019-05-09 12:00:00,2024-01-02 02:25:04,
,1998,26869,Bishop Danced,2021-05-18 12:00:00,2021-05-18 12:39:49,
,1628,21256,Evacuation of the West,2020-09-16 12:00:00,2024-01-02 21:36:22,
,1072,8268,Phantoms,2019-06-06 12:00:00,2020-12-12 14:51:17,
,498,970,Santa Ana,2018-03-06 13:00:10,2022-12-28 06:09:01,Tracks
,2504,38856,Seaside Bar Song,2022-10-24 12:00:00,2024-01-04 00:16:25,Tracks
,3133,54391,Secret to the Blues,2024-09-14 22:15:00,2024-09-14 22:13:07,Played during 73 Tour
,960,8279,Song for Orphans,2019-04-10 12:00:00,2024-01-02 02:15:10,LTY
,1651,21113,The Fever,2020-10-04 12:00:00,2020-10-10 18:12:43,Tracks
,2099,27713,Thundercrack,2021-09-24 12:00:00,2023-01-03 14:26:05,Tracks
,1141,11793,Vibes Man,2019-08-07 12:00:00,2019-08-07 12:33:45,
,2016,27149,Winter Song,2021-06-03 12:00:00,2021-06-03 03:25:06,
