id,slug,name
196,59-sound,'59 Sound
2632,til-we-outnumber-them,'Til We Outnumber Them
1187,janey,"""Janey"
3472,weird-al-yankovic,"""Weird Al"" Yankovic"
3150,all-i-can-do-is-dream-you,(All I Can Do Is) Dream You
2432,get-your-kicks-on-route-66,(Get Your Kicks on) Route 66
1572,i-cant-get-no-satisfaction,(I Can't Get No) Satisfaction
1487,i-heard-that-lonesome-whistle,(I Heard That) Lonesome Whistle
1462,love-is-like-a-heatwave,(Love is Like a) Heatwave
3560,whats-so-funny-bout-peace-love-and-understanding,(What's So Funny 'Bout) Peace Love and Understanding
1707,your-love-keeps-lifting-me-higher-and-higher,(Your Love Keeps Lifting Me) Higher and Higher
266,1-2-crush-on-you,1-2 Crush on You
2667,10000-maniacs,10000 Maniacs
3062,13th-alibi,13th Alibi
189,18-tracks,18 Tracks
3261,1945,1945
1308,1968-notebook,1968 Notebook
217,20-20,20/20
2365,23rd-street-luallaby,23rd Street Luallaby
573,23rd-street-lullaby,23rd Street Lullaby
2813,25th-hour,25th Hour
2285,30-days-out,30 Days Out
2105,3m,3M
371,3m-plant,3M Plant
3436,48th-street-collective,48th Street Collective
505,4th-of-july,4th of July
1470,4th-of-july-asbury-park-sandy,4th of July Asbury Park (Sandy)
2032,57-channels-and-nothin-on,57 Channels (And Nothin' On)
2107,60-minutes,60 Minutes
1399,634-5789,634-5789
1474,634-5789-soulsville-u-s-a,634-5789 (Soulsville U.S.A.)
2661,8-bit-arcade,8-Bit Arcade
1553,9-11,9/11
769,96-tears,96 Tears
2172,a-change-is-gonna-come,A Change Is Gonna Come
2042,a-day-in-the-life,A Day in the Life
2130,a-fine-fine-boy,A Fine Fine Boy
2131,a-fine-fine-girl,A Fine Fine Girl
1527,a-good-life,A Good Life
891,a-good-man-is-hard-to-find-pittsburgh,A Good Man is Hard to Find (Pittsburgh)
2939,a-hard-days-night,A Hard Day's Night
3523,a-life-full-of-rain,A Life Full of Rain
2401,a-love-so-fine,A Love So Fine
2675,a-matter-of-trust,A Matter of Trust
1077,a-night-like-this,A Night Like This
3247,a-night-with-daddy-g,A Night With Daddy G
1813,a-night-with-the-jersey-devil,A Night with the Jersey Devil
315,a-satisfied-mind,A Satisfied Mind
1781,a-secret-history,A Secret History
2076,a-teenager-in-love,A Teenager in Love
1985,a-teenager-inlove,A Teenager inLove
3508,a-thousand-miles-behind,A Thousand Miles Behind
2624,a-tribute-to-curtis-mayfield,A Tribute to Curtis Mayfield
2071,a-very-special-christmas,A Very Special Christmas
2435,a-winters-revelation-in-9-illusions,A Winter's Revelation (in 9 Illusions)
457,a-womans-got-the-power,A Woman's Got the Power
3459,a-ha,A-ha
3279,aaron-tveit,Aaron Tveit
2266,academy-awards,Academy Awards
2717,achy-breaky-heart,Achy Breaky Heart
993,across-the-border,Across the Border
894,across-the-borderline,Across the Borderline
1295,action-in-the-streets,Action in the Streets
3015,ada-dyer,Ada Dyer
2215,ada-jones,Ada Jones
583,adam-raised-a-cain,Adam Raised a Cain
1899,adam-sandler,Adam Sandler
2374,adam-selzer,Adam Selzer
2786,adam-waite,Adam Waite
179,adelaide,Adelaide
2002,adele-springsteen,Adele Springsteen
3169,afie-jurvanen,Afie Jurvanen
903,aint-good-enough-for-you,Ain't Good Enough for You
1396,aint-got-you,Ain't Got You
3228,aint-it-strange,Ain't It Strange
464,aint-that-a-shame,Ain't That a Shame
3008,aint-that-lovin-you-baby,Ain't That Lovin' You Baby
1443,aint-that-loving-you-baby,Ain't That Loving You Baby
2436,aint-that-peculiar,Ain't That Peculiar
1794,aint-too-proud-to-beg,Ain't Too Proud to Beg
3131,air-supply,Air Supply
1411,akron,Akron
1657,al-franken,Al Franken
3473,al-tv,Al TV
3305,alabama-shakes,Alabama Shakes
1907,alan-fitzgerald,Alan Fitzgerald
1306,alan-vega,Alan Vega
930,albama,Albama
226,albany,Albany
1628,albee-tellone,Albee Tellone
2952,albertina-walker,Albertina Walker
1889,album-collection-vol-1,Album Collection Vol. 1
3509,album-companion,Album Companion
1747,albuquerque,Albuquerque
65,alejandro-escovedo,Alejandro Escovedo
2875,alex-perry,Alex Perry
2629,alexander-schmidt-band,Alexander Schmidt Band
2930,alexanders-ragtime-band,Alexander's Ragtime Band
2957,alison,Alison
3522,alison-mosshart,Alison Mosshart
761,elliott-murphy,Elliott Murphy
1642,eloise,Eloise
668,elton-john,Elton John
20,elvis,Elvis
796,elvis-costello,Elvis Costello
865,elvis-presley,Elvis Presley
2304,elvis-presley-the-searcher,Elvis Presley: The Searcher
2779,elysium,Elysium
2408,emily-barker-and-the-red-clay-halo,Emily Barker and the Red Clay Halo
3467,emmeline-gracie-rae,Emmeline Gracie Rae
2754,emmylou-harri,Emmylou Harri
113,emmylou-harris,Emmylou Harris
1301,empty-sky,Empty Sky
2405,endless-night,Endless Night
374,england,England
388,ennio-morricone,Ennio Morricone
1327,eric-burdon,Eric Burdon
1063,eric-burdon-and-the-animals,Eric Burdon and The Animals
474,eric-burdon-and-war,Eric Burdon and War
2521,eric-church,Eric Church
1380,eric-clapton,Eric Clapton
2254,erie-canal,Erie Canal
349,ernest-boom-carter,"Ernest ""Boom"" Carter"
2827,ernest-tubb,Ernest Tubb
2465,errol-beutell,Errol Beutell
402,essential-bruce-springsteen,Essential Bruce Springsteen
2034,etta-james,Etta James
2894,evacuation-of-the-west,Evacuation of the West
1332,evan-springsteen,Evan Springsteen
1903,evanston,Evanston
2303,every-breath-you-take,Every Breath You Take
2535,every-day-and-every-night,Every Day and Every Night
2898,every-mother-counts,Every Mother Counts
2022,everybody-wants-my-baby,Everybody Wants My Baby
2318,everybodys-looking-for-somebody,Everybody's Looking for Somebody
3182,everybodys-trying-to-be-my-baby,Everybody's Trying to Be My Baby
466,everyone-loves-you,Everyone Loves You
1703,everything-but-the-girl,Everything But the Girl
2102,everything-i-do-leads-me-back-to-you,Everything I Do (Leads Me Back to You)
3189,everythings-going-to-work-out-right,Everything's Going to Work Out Right
1943,exit-105,Exit 105
859,expressway-to-your-heart,Expressway to Your Heart
1922,eye-catcher,Eye Catcher
1127,eyes-on-the-prize,Eyes on the Prize
3397,fa-fa-fa-fa-fa-sad-song,Fa-fa-fa-fa-fa (Sad Song)
3211,fabio-melis,Fabio Melis
1846,fabulous-grease-band,Fabulous Grease Band
1196,fabulous-greaseband,Fabulous Greaseband
746,factory,Factory
584,fade-away,Fade Away
3535,fade-to-black,Fade to Black
946,fairfax,Fairfax
929,fairleigh-dickinson,Fairleigh Dickinson
2539,faith,Faith
2655,family-song,Family Song
1847,fargo,Fargo
2232,farmer-john,Farmer John
3152,farther-up-the-road,Farther Up the Road
3471,fast-song,Fast Song
2278,faster-and-louder,Faster and Louder
689,father-bill-ayres,Father Bill Ayres
463,fats-domino,Fats Domino
874,fdu,FDU
3231,featured,featured
3237,featuredold,featuredold
1425,fenway-park,Fenway Park
1179,fields-of-gold,Fields of Gold
242,fillmore-west,Fillmore West
1082,finaland,Finaland
2701,find-it-where-you-can,Find It Where You Can
1801,fingernails,Fingernails
896,finland,Finland
257,fire,Fire
2012,firecrackers,firecrackers
3514,fisk-jubilee-singers,Fisk Jubilee Singers
1156,fist-full-of-dollars,Fist Full of Dollars
307,flo-and-eddie,Flo and Eddie
249,float-away,Float Away
1942,flood-aid,Flood Aid
992,florence,Florence
1839,florence-the-machine,Florence + The Machine
1840,florence-welch,Florence Welch
835,florida,Florida
3502,flyswatter,Flyswatter
3282,foghat,Foghat
2173,folkways-a-vision-shared,Folkways: A Vision Shared
492,follow-that-dream,Follow That Dream
1503,for-never-asking,For Never Asking
2542,for-our-children,For Our Children
2646,for-what-its-worth,For What It's Worth
561,for-you,For You
3452,for-you-2,For You 2
3101,for-your-love,For Your Love
1812,forbes-magazine,Forbes Magazine
1511,forever-young,Forever Young
1866,fortunate-son,Fortunate Son
276,forward,Forward!
2426,found-wandering,Found Wandering
3554,four-tops,Four Tops
1391,foxboro,Foxboro
1562,foxborough,Foxborough
677,france,France
2229,frances-farmer,Frances Farmer
3048,francis-scott-key,Francis Scott Key
3214,frank-black-and-the-catholics,Frank Black and The Catholics
1516,frank-bruno,Frank Bruno
1861,frank-caruso,Frank Caruso
3340,frank-get,Frank Get
858,frank-sinatra,Frank Sinatra
279,frankfurt,Frankfurt
3569,franki-valli,Franki Valli
555,frankie,Frankie
86,frankie-fell-in-love,Frankie Fell in Love
697,frankie-ford,Frankie Ford
2812,fred-the-bear,Fred the Bear
2974,freddie-slack,Freddie Slack
3446,freddy-fender,Freddy Fender
3437,free-money,Free Money
150,free-nelson-mandela,Free Nelson Mandela
2708,free-redemption,Free Redemption
2311,freedom-cadence,Freedom Cadence
2494,freedom-no-compromise,Freedom--No Compromise
144,freehold,Freehold
2121,frenkie-fell-in-love,Frenkie Fell in Love
1770,fresno,Fresno
346,friday-night-videos,Friday Night Videos
327,friday-on-my-mind,Friday on My Mind
557,friendly-enemies,Friendly Enemies
2255,froggie-went-a-courtin,Froggie Went A-Courtin'
2893,from-my-home-to-yours,From My Home to Yours
834,from-small-things,From Small Things
1566,from-small-things-big-things-one-day-come,From Small Things (Big Things One Day Come)
1640,fugitive-dreams,Fugitive Dreams
2501,fugitives-dream,Fugitive's Dream
867,funk-song,Funk Song
1522,funky-broadway,Funky Broadway
1340,funky-dusty-and-the-soul-broom,Funky Dusty and The Soul Broom
1089,further-on-up-the-road,Further On (Up the Road)
1683,gaithersburg,Gaithersburg
2797,galveston-bay,Galveston Bay
